iter	MultiClass
0	1.772115965
1	1.751593419
2	1.728554466
3	1.707266972
4	1.690537217
5	1.672680894
6	1.652944535
7	1.634323646
8	1.614550934
9	1.593308308
10	1.575885163
11	1.557948098
12	1.538633819
13	1.518306912
14	1.503700376
15	1.483352135
16	1.46971183
17	1.450726357
18	1.43568033
19	1.420783351
20	1.407079906
21	1.394004798
22	1.38075883
23	1.366190943
24	1.352390206
25	1.340667438
26	1.328017088
27	1.31818067
28	1.305924179
29	1.294817503
30	1.284160554
31	1.271797969
32	1.260343067
33	1.250028604
34	1.239300288
35	1.229269572
36	1.220034034
37	1.209968017
38	1.198533683
39	1.189114275
40	1.176237196
41	1.165868107
42	1.156851263
43	1.148054165
44	1.13905655
45	1.129675886
46	1.119986125
47	1.111451726
48	1.102727525
49	1.094054315
50	1.08638828
51	1.079060617
52	1.071686652
53	1.064752752
54	1.057800389
55	1.049879212
56	1.042291528
57	1.034857962
58	1.028755116
59	1.022467251
60	1.014651499
61	1.007782269
62	1.001179949
63	0.9946750174
64	0.9889283375
65	0.9817805275
66	0.9753198893
67	0.9691125756
68	0.9638483412
69	0.9574567741
70	0.9510839576
71	0.9457002359
72	0.9405608461
73	0.9351139846
74	0.9296113496
75	0.9236830948
76	0.9181243992
77	0.9128104183
78	0.9070551283
79	0.9014905971
80	0.8955245541
81	0.890501686
82	0.8855801286
83	0.8811486702
84	0.876393094
85	0.8714857909
86	0.867055863
87	0.8620787235
88	0.8579415348
89	0.8538326634
90	0.8486653391
91	0.844320076
92	0.8400505807
93	0.8354297028
94	0.8304053041
95	0.8263552675
96	0.82236971
97	0.8183733423
98	0.8144307391
99	0.8110358259
100	0.8065955661
101	0.8030021452
102	0.7999743997
103	0.7960891484
104	0.7928421355
105	0.7892363258
106	0.7857610529
107	0.7822528708
108	0.7785334572
109	0.7749817947
110	0.7715590904
111	0.7681066818
112	0.7648964048
113	0.7614036249
114	0.7581354219
115	0.7543086707
116	0.751078495
117	0.7478950046
118	0.744839181
119	0.7417455213
120	0.7387135664
121	0.7353241062
122	0.7320943611
123	0.7295205526
124	0.7262689955
125	0.7232489989
126	0.7205117922
127	0.7174649612
128	0.7144791654
129	0.7112954358
130	0.708459023
131	0.7058052852
132	0.7034173565
133	0.7009695884
134	0.6979588237
135	0.6951910037
136	0.6928559785
137	0.6906112623
138	0.6881710997
139	0.6852549012
140	0.6823475996
141	0.6799904276
142	0.6773893063
143	0.6750637042
144	0.6727813434
145	0.6705957012
146	0.6681904569
147	0.6655698675
148	0.6629959154
149	0.6608154871
150	0.658498208
151	0.6562366067
152	0.6538952675
153	0.6518707754
154	0.6497246434
155	0.6475845385
156	0.6448268591
157	0.6424288854
158	0.6405310556
159	0.6381489147
160	0.6355396618
161	0.6333721005
162	0.6314084522
163	0.6293158935
164	0.6271791847
165	0.6250929399
166	0.6231467507
167	0.6214224597
168	0.6196554058
169	0.6174950674
170	0.6158740005
171	0.6140320398
172	0.6121268437
173	0.6101961046
174	0.6081956726
175	0.606260772
176	0.6045768523
177	0.6030056275
178	0.6015431754
179	0.599433588
180	0.5976468747
181	0.5951970976
182	0.5931869555
183	0.5915001179
184	0.58984088
185	0.5879874394
186	0.5857798418
187	0.5840684658
188	0.5825023591
189	0.5805579398
190	0.579038614
191	0.5772641938
192	0.57595079
193	0.5745075668
194	0.573242618
195	0.571453226
196	0.569618536
197	0.5680880651
198	0.5664453776
199	0.5651087746
200	0.5636571806
201	0.5619946423
202	0.5605176968
203	0.5592236175
204	0.5574956912
205	0.5557819235
206	0.5543643389
207	0.5529264731
208	0.5515464854
209	0.549919248
210	0.5484950625
211	0.5471160793
212	0.5455236166
213	0.5438745672
214	0.5424361274
215	0.5410656107
216	0.5396739039
217	0.5383124277
218	0.5371191808
219	0.5356609859
220	0.534574981
221	0.5331554353
222	0.5320854067
223	0.5307850135
224	0.5295931538
225	0.5283414069
226	0.5270555072
227	0.5256119492
228	0.5246353867
229	0.5233196868
230	0.5220913782
231	0.5203690962
232	0.5192575006
233	0.5179751405
234	0.5170259864
235	0.5159230965
236	0.5145479878
237	0.5133087254
238	0.5123045631
239	0.5113068105
240	0.5101974631
241	0.5090831888
242	0.5077900184
243	0.5065958149
244	0.5054371036
245	0.5039910104
246	0.5026395313
247	0.5012846561
248	0.5003750122
249	0.4992541848
250	0.497939059
251	0.4969418325
252	0.4958836666
253	0.4948494651
254	0.4936465081
255	0.4926849652
256	0.4914492425
257	0.4905134817
258	0.4894549809
259	0.4886079029
260	0.487353573
261	0.4862463302
262	0.4853642383
263	0.4844125012
264	0.4834411047
265	0.4821819437
266	0.4813013346
267	0.4805429871
268	0.4792656017
269	0.4785201213
270	0.4775913442
271	0.4767347952
272	0.4755340385
273	0.4745436044
274	0.4736532851
275	0.4726286981
276	0.4715300174
277	0.4705225547
278	0.4696895874
279	0.4687369415
280	0.4678313157
281	0.4669707008
282	0.4662966355
283	0.465488398
284	0.4646748988
285	0.463816006
286	0.4629368319
287	0.4619960964
288	0.4611605462
289	0.4605119759
290	0.4597254069
291	0.4587622376
292	0.4579113808
293	0.4571369135
294	0.4562316703
295	0.4555661193
296	0.4546526966
297	0.4533952575
298	0.4526183508
299	0.4517412813
300	0.4508226448
301	0.4499777193
302	0.4491053375
303	0.4482486928
304	0.4473399578
305	0.4463755449
306	0.4453770748
307	0.4445924669
308	0.4438362719
309	0.4433319187
310	0.4426931543
311	0.4420281294
312	0.441059555
313	0.4402245788
314	0.4391882248
315	0.4382775286
316	0.437774993
317	0.4370461587
318	0.4362272065
319	0.4356213513
320	0.4347085504
321	0.4341483281
322	0.4335599798
323	0.432746959
324	0.432113791
325	0.4312029513
326	0.4304986553
327	0.4299074849
328	0.4288859592
329	0.4285348157
330	0.4277373885
331	0.4269538329
332	0.4263794519
333	0.4253216687
334	0.4246225387
335	0.4239486647
336	0.4235179746
337	0.4226936651
338	0.4219321607
339	0.4212033263
340	0.42062531
341	0.4198152548
342	0.4193093231
343	0.418596178
344	0.4179464597
345	0.4173722701
346	0.4168156352
347	0.4162624443
348	0.4154248372
349	0.4148528
350	0.413895897
351	0.4131547695
352	0.4127343635
353	0.4118587769
354	0.4111370218
355	0.4106054515
356	0.4097790853
357	0.4088375845
358	0.4080544594
359	0.4073916827
360	0.4068543246
361	0.4061781545
362	0.4057676501
363	0.4050531178
364	0.4044505631
365	0.4040020312
366	0.4035733023
367	0.4029479311
368	0.4021401719
369	0.4015059516
370	0.4009307096
371	0.4001972354
372	0.3998706303
373	0.399114555
374	0.398740045
375	0.398088796
376	0.3972102198
377	0.3968152372
378	0.3960268027
379	0.3955773141
380	0.3949552913
381	0.3942507083
382	0.3935669328
383	0.3927527162
384	0.3921459521
385	0.3912798604
386	0.3903974097
387	0.3899689677
388	0.389314227
389	0.3888464662
390	0.3880984267
391	0.387523687
392	0.3868654544
393	0.3863532566
394	0.3853111148
395	0.3848061397
396	0.3840238757
397	0.3837270707
398	0.3834360774
399	0.3829993843
400	0.3825309299
401	0.3820252135
402	0.3816811493
403	0.3810594134
404	0.3802758579
405	0.3796154728
406	0.3791667496
407	0.3787053745
408	0.3781779418
409	0.3774534602
410	0.3769430322
411	0.3764194022
412	0.3759326755
413	0.3754837849
414	0.3748926623
415	0.3741703332
416	0.3737805884
417	0.3732182374
418	0.3727564079
