iter	Passed	Remaining
0	10	31933
1	17	26442
2	21	21430
3	24	18662
4	31	18935
5	35	17701
6	38	16626
7	42	15933
8	48	16181
9	52	15619
10	55	15127
11	59	14700
12	65	14982
13	68	14591
14	72	14369
15	75	14067
16	81	14346
17	84	14076
18	88	13855
19	91	13660
20	98	13928
21	101	13783
22	105	13637
23	108	13509
24	115	13751
25	119	13709
26	123	13642
27	131	13905
28	134	13755
29	138	13672
30	141	13575
31	147	13684
32	150	13565
33	154	13480
34	157	13372
35	169	13969
36	175	14064
37	184	14404
38	190	14447
39	201	14942
40	207	14981
41	216	15257
42	221	15253
43	230	15489
44	238	15677
45	242	15545
46	250	15728
47	258	15868
48	263	15894
49	267	15766
50	270	15653
51	274	15547
52	280	15573
53	283	15472
54	287	15382
55	290	15275
56	296	15306
57	299	15202
58	303	15129
59	307	15044
60	312	15077
61	316	14987
62	319	14900
63	323	14826
64	329	14878
65	332	14784
66	335	14704
67	339	14629
68	345	14659
69	348	14572
70	351	14495
71	355	14442
72	364	14597
73	370	14646
74	373	14569
75	382	14732
76	385	14644
77	388	14566
78	396	14671
79	402	14703
80	405	14617
81	414	14738
82	419	14754
83	427	14825
84	434	14895
85	437	14812
86	445	14915
87	451	14939
88	457	14969
89	463	14992
90	466	14908
91	469	14842
92	472	14778
93	478	14778
94	480	14708
95	483	14636
96	486	14563
97	489	14498
98	495	14510
99	498	14455
100	501	14387
101	504	14327
102	507	14271
103	513	14302
104	517	14255
105	520	14204
106	523	14149
107	528	14159
108	531	14104
109	534	14047
110	537	13986
111	541	13950
112	545	13939
113	548	13886
114	551	13825
115	553	13767
116	556	13718
117	562	13726
118	567	13742
119	570	13693
120	577	13743
121	580	13696
122	583	13659
123	587	13617
124	590	13585
125	613	14000
126	622	14082
127	631	14173
128	634	14122
129	637	14071
130	640	14027
131	657	14278
132	660	14244
133	663	14194
134	666	14144
135	669	14097
136	672	14054
137	684	14196
138	687	14159
139	691	14128
140	694	14083
141	697	14038
142	700	13990
143	703	13943
144	705	13896
145	709	13869
146	715	13895
147	718	13851
148	721	13800
149	725	13776
150	730	13779
151	732	13733
152	736	13697
153	739	13657
154	742	13636
155	748	13647
156	751	13601
157	754	13564
158	757	13535
159	760	13490
160	762	13452
161	768	13466
162	775	13491
163	778	13459
164	787	13527
165	790	13501
166	797	13522
167	803	13549
168	810	13576
169	817	13605
170	823	13621
171	826	13591
172	832	13598
173	834	13561
174	840	13574
175	848	13606
176	853	13610
177	855	13570
178	859	13544
179	862	13518
180	865	13483
181	868	13447
182	871	13411
183	874	13384
184	880	13394
185	883	13359
186	885	13326
187	888	13292
188	891	13265
189	894	13229
190	897	13192
191	899	13159
192	902	13128
193	908	13138
194	914	13156
195	917	13126
196	920	13096
197	923	13068
198	926	13047
199	929	13017
200	932	12987
201	935	12957
202	938	12929
203	943	12937
204	947	12912
205	949	12882
206	952	12851
207	954	12818
208	958	12796
209	961	12769
210	964	12747
211	970	12759
212	978	12798
213	980	12768
214	986	12776
215	989	12748
216	995	12763
217	997	12732
218	1002	12736
219	1005	12707
220	1015	12765
221	1018	12739
222	1024	12756
223	1030	12771
224	1033	12741
225	1035	12711
226	1038	12684
227	1050	12769
228	1053	12747
229	1057	12731
230	1063	12747
231	1066	12719
232	1068	12688
233	1073	12683
234	1078	12690
235	1081	12661
236	1083	12635
237	1086	12608
238	1089	12589
239	1092	12563
240	1095	12537
241	1097	12510
242	1100	12486
243	1103	12463
244	1109	12473
245	1112	12459
246	1115	12437
247	1118	12412
248	1121	12386
249	1124	12368
250	1127	12345
251	1129	12321
252	1132	12299
253	1135	12272
254	1138	12251
255	1143	12258
256	1146	12240
257	1149	12216
258	1152	12194
259	1154	12169
260	1158	12153
261	1160	12130
262	1163	12110
263	1166	12084
264	1168	12064
265	1177	12106
266	1180	12083
267	1186	12090
268	1189	12074
269	1194	12080
270	1197	12056
271	1202	12061
272	1208	12067
273	1214	12082
274	1217	12065
275	1224	12083
276	1230	12093
277	1232	12069
278	1235	12049
279	1241	12059
280	1244	12038
281	1246	12014
282	1252	12028
283	1256	12018
284	1262	12028
285	1266	12014
286	1268	11992
287	1272	11978
288	1274	11960
289	1277	11939
290	1280	11918
291	1283	11900
292	1285	11879
293	1289	11864
294	1291	11844
295	1294	11825
296	1297	11807
297	1300	11789
298	1302	11768
299	1305	11753
300	1308	11737
301	1311	11716
302	1314	11704
303	1317	11686
304	1320	11665
305	1323	11653
306	1326	11633
307	1328	11615
308	1331	11596
309	1334	11579
310	1337	11567
311	1341	11554
312	1343	11536
313	1346	11517
314	1349	11500
315	1351	11482
316	1354	11466
317	1357	11449
318	1360	11430
319	1365	11433
320	1368	11420
321	1371	11405
322	1373	11386
323	1380	11400
324	1383	11383
325	1385	11367
326	1391	11377
327	1397	11383
328	1400	11366
329	1402	11346
330	1405	11332
331	1410	11336
332	1413	11322
333	1419	11330
334	1425	11341
335	1428	11324
336	1430	11306
337	1434	11295
338	1440	11310
